degree,repeat,fold,MAE,RMSE,R2
1,1,1,17957.65,24450.04,0.8918
1,1,2,16891.71,23685.57,0.9201
1,1,3,18206.31,26253.54,0.8707
1,1,4,17762.3,25860.18,0.9076
1,1,5,17490.12,28674.0,0.8725
1,2,1,17488.14,25550.38,0.8769
1,2,2,17569.35,27443.16,0.8843
1,2,3,18159.76,25626.6,0.8907
1,2,4,17219.35,23969.75,0.9153
1,2,5,17793.22,26125.77,0.9019
1,3,1,19021.46,27207.82,0.8774
1,3,2,18168.46,25871.92,0.868
1,3,3,18756.69,29273.24,0.8808
1,3,4,16453.26,24069.2,0.9164
1,3,5,16019.34,22438.8,0.9202
1,4,1,17228.47,26194.42,0.905
1,4,2,17223.7,25017.01,0.9103
1,4,3,17924.28,24061.15,0.889
1,4,4,18242.32,24603.24,0.8955
1,4,5,17962.45,29321.85,0.8648
1,5,1,18536.01,28680.04,0.8566
1,5,2,17219.18,23381.21,0.8975
1,5,3,19335.53,28918.54,0.8875
1,5,4,16885.42,25520.25,0.9007
1,5,5,16630.83,22137.62,0.924
2,1,1,17464.3,24112.02,0.8947
2,1,2,17391.33,25099.37,0.9103
2,1,3,19259.06,29878.49,0.8325
2,1,4,17950.33,26543.42,0.9027
2,1,5,18382.69,30118.05,0.8593
2,2,1,18324.39,27496.79,0.8575
2,2,2,18562.54,28037.32,0.8792
2,2,3,19359.92,28893.23,0.861
2,2,4,17173.51,24759.56,0.9096
2,2,5,19412.48,28886.1,0.8801
2,3,1,19326.74,28314.26,0.8672
2,3,2,18705.38,27294.47,0.8531
2,3,3,19040.99,29620.83,0.8779
2,3,4,17329.79,26135.05,0.9015
2,3,5,17433.33,26234.61,0.8909
2,4,1,16921.05,26176.04,0.9051
2,4,2,18706.39,30366.73,0.8678
2,4,3,18104.01,25129.28,0.8789
2,4,4,17842.51,25792.24,0.8851
2,4,5,18694.98,29432.8,0.8637
2,5,1,18992.39,28255.1,0.8608
2,5,2,17949.1,26749.91,0.8658
2,5,3,19222.83,30564.52,0.8743
2,5,4,18084.45,28049.84,0.8801
2,5,5,16337.91,21441.68,0.9287
