feature,standardized_log_price_coefficient,absolute_coefficient
TotalSF,0.14608507030952883,0.14608507030952883
HouseAge,-0.1060957883342042,0.1060957883342042
OverallQual,0.09151329364319187,0.09151329364319187
OverallCond,0.06414736488171982,0.06414736488171982
GrLivArea,0.04946477490355654,0.04946477490355654
Fireplaces,0.04016239444563076,0.04016239444563076
GarageArea,0.028833808849363214,0.028833808849363214
RemodelAge,-0.022761008315683597,0.022761008315683597
GarageCars,0.016290236090688567,0.016290236090688567
TotalPorchSF,0.014093636173586513,0.014093636173586513
BedroomAbvGr,-0.009627681325169639,0.009627681325169639
HasGarage,0.009553147389886562,0.009553147389886562
HasBasement,-0.00712462608477169,0.00712462608477169
TotalBathrooms,-0.0057881161841055115,0.0057881161841055115
TotRmsAbvGrd,0.005685263832924448,0.005685263832924448
HasFireplace,-0.0040505262509967915,0.0040505262509967915
